text,is_toxic
gue tidak sangka tahun 2013 alay bro serius demi apa guling jamban,0
kafir pandang astaga biasa kait kafir allah gelar syaitan bawa maksud ingkar perintah allah bukan makna keluar islam,0
aahhh aku sedih aku orang depok nyata tidak jakarta pak manies jahattttt mata najwa debat jakarta,0
jonru lindung kelompok prabowo subianto rekan polisi berani hukum orang bebas pergi,1
betul bilang kaum nabi lut sama nusantara arti kata kata tuduh orang nusantara nu gay lesbi malas ikut bro tidak respect nyata tidak beda golong radikal,0
bodoh eh hahahhahahhhhahahaha badu arhhh ya pangan ketu ku temu cringe sial,1
bodoh tidak tarik titik,0
ahoker 11 12 jokower surup rakus 2 periode 2019 ganti presiden gerak,1
praktisi ekonomi salah putra indonesia andal lihat tanding tara beliau bidang ekonomi nasional profesional sepe i beliau gagal abdi kendala ai sistem pol,0
program program tenaga kerja indonesia jurnalis koran berita indonesia hong kong,0
prabowo suka pakai kopiah orang sangka uang uniform resource locator,1
sikap politik donald trump sudut umat islam tarik dukung politik united state of america yahudi lihat,0
suka lupa bera i iseng titit doang biar om teman pingkal haha,1
munafik golput panas dingin bela sih kuli cina kejang kejang lihat orang kagum pimpin karismatik plonga plongo xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82,1
agama islam hidup enak cina hidup gelimang a uniform resource locator,1
bungkus kayu biar banting pecah cacat haha,0
true banget kyuhyun pantai pakai manset udik dasar jihoon,1
addie ms bongkar libat veronica ahok gubernur jaka a uniform resource locator,1
retweet goyang basah xf0 x9f x98 x9d horny memek colok memek colok memek jembut memek becek ngentot video ngentot vi xe2 x80 xa6,1
hasil citra beliau uniform resource locator,1
bilang citra laku citra kayak prabowo,1
banyak bicara terus bakar sekolah bagaimana uniform resource locator,1
cocok presiden,0
jilat memek,1
kalau jokowi lah takut kalah 2019 takut tahu kedok nya jual aset asing xf0 x9f x98 x82 xf0 x9f x98 x82,1
bani taplak kotak kotak menang konspirasi wahyudi remason,1
ya allah nih pres mesti seragam tentara nasional indonesia culun xf0 x9f x98 x81,1
makan gue suruh baca anggar dapat dan belanja negara biar tidak bego kamu lihat asumsi harga minyak anggar dapat dan belanja negara 2018 pakai angka berapa revisi anggar dapat dan belanja negara makanya jangan cuma ambil berita tidak analisis susah sih bicara sama anonim belum wkwk,1
kalau cuap cuap benar hebat kalau salah arti promosi susilo bambang yudhoyono sampah will see,1
jangan pernah pilih pimpin penuh curang balik ke solo balik ke solo,1
allah subhanahu wa taala sembah lima kali hari tak peluk pak lukman paling dekat biar simpuh kaki,1
presiden jangan pesimisme apa semua calon pimpin milik optimisme tahan uji tahan banting selalu tawakal tahun 2030 indonesia masuk 10 negara kuat jangan mau ajak pesimis,0
jaga satu jangan mau adu domba bapak sama ruf amin kan ulama semua hormat beliau,0
congor kamu layak neraka,1
tekong sempang kerayong padu anak buah myself pandai edmet tampon gm kelas padu futsal ahli gabung gan kelas time futsal rajin agama pon hehe jodoh sempurna kelas 3,0
kecoa cuma komplain bahasa cina tempat umum sedang tempat umum banyak bahasa inggris tidak masalah kecoa takut sama orang bule kecut doang xf0 x9f x98 x82 xf0 x9f x98 x8,1
otak kadal diktator jokowi tukang tipu biadab janji mau selesai langgar ham eh malah gebuk partai komunis indonesia,1
adem banget lihat allahu akbar,0
monyet prabowo lucu,1
oohhh kaos rencana tukar pakai kartu tanda duduk ya 2019 ganti presiden,1
isis islam islam isis mau hidup baik tinggal islam stop salat aji,1
kalah menang biasa kuasa tangan tuhan asal bapak ahok tidak jual iman pak ahok jabat,0
kuasa wujud asli tuan jokowi diktator,1
taplak meja pakai,0
basi isu partai komunis indonesia,1
prof jeffrey musim dingin jokowi presiden lemah sejarah indonesia anisa bahas prof jeffrey musim dingin bagus analisis 2015 bahas 2019 ganti presiden,1
masing masing buat orang buta benar uchiha obito,0
asperger autis pokok beda orang pasal dibully beda indah,0
situ tidak adil kalian negara republik cebong mana hoaks kejar,1
memang keparat orang orang,1
tunggu aksi bela kafir hari tanu,1
cewek cewek bilang semua cowok berengsek salah gue bukan tipe cowok berengsek gue cowok bajing,0
auti apa auti autis kamu banci autis seram,1
nurul arifin tak goyah hadap survei bandung cantik bandung harmonis bandung pilih nuruli calon wali kota bandung calon wali kota bandung 2018,0
bilang bajing kasih surat cinta komisi siar indonesia sih,1
amin ya rabbal alamin salam gie cerah bangsa ubah indonesia,0
p p jokowi empu rubah nasib rakyat k sehat infrastruktur khusus papua bangun infrastruktur cipta sentra sentra ekonomi tingkat ekon rakyat papua mks pare pare jalan kereta api bangun jalan tol l jakarta langsung ubah nasib rakyat,0
asing nih forever young dengar ulang ulang sial musik video,0
usul bagus lengser uniform resource locator,1
aparat keparat bela bayar aparat alat kuasa alat kuasa,1
dungu budak islam hnw allah subhanahu wa taala tuhan sosok dungu biadab,1
nyata makam tanah palestina tekan perselihan umat islam kristen islam mulia as nabi islam,0
amin malu ifikat bohong akuisisi saham freeport bohong mulut pantat onta dower,1
sastra e karl mark pentol komunis rusia,0
tulis cara ku cinta bukan mulut bisu aku ibarat aksara abadi kenang ash,0
indonesia lawyers club boediono century jadi ikut kasus cukup intens meski sekarang lupa kunci cuma butuh 2019 ganti presiden,1
peluk agama buddha indonesia 90 etnis tionghoa cina di dalam nya jumlah taipan taipan jajah besar indonesia,1
saracen jahat besar rencana menteri dalam negeri batal menang pasang anies sandi jasa saracen,1
mari jaga adu domba ruf amin ulama mari hormat beliau,0
prabowo gagas indonesia hutang iya soemitro,1
lama novel komisi berantas korupsi sandi tetap aman mana mungkin novel usut wakil gubernur sepupu mana mungkin usut kasus anies,1
iblis n1 senang suara azan n2 suka hijab cadar n3 suka si xe2 x80 xa6,0
bukan cuma lemah kok kerja jeblok karakter bobrok elektabilitas anjlok citra mentok dukung goblok kalap emis tiongkok mau jadi macan padahal kodok prof jeffrey musim dingin jokowi presiden lemah sejarah in,1
baca a ikel internet lembar nya beda tanda butuh orang negeri ya pakai 48 ya 24 negara tetangga,0
orang udik enggak tahu tanah abang,1
pantat sapi,0
lembaga swadaya masyarakat gerak tolak berita hoaks sukses pilih kepala daerah di wilayah diri kota,0
kamu cacat lesung pipi cacat sekian xf0 x9f x98 x9c,1
cerita lagu sih raja monyet pertama uniform resource locator,0
daftar calon presiden pilih presiden 2019 belum buka agustus 2018 normatif begini politikus partai demokrasi indonesia juang belum paham 2019 ganti presiden,1
mulut mu bauk tai anti korupsi bubar komisi berantas korupsi kamu partai adil sejahtera partai adil sejahtera sahabat komunis uniform resource locator,1
tim anies sandi kaget indra piliang tangkap kait narkoba uniform resource locator uniform resource locator front bela islam hati anies sandi rizieq buni jonru saracen orang,1
bijak presiden jokowi bikin pegawai negeri sipil bahagia apartemen khusus pegawai negeri sipil tunjang hari raya lebih besar pensiun tunjang hari raya pegawai negeri sipil pria cuti istri lahir fakta mana kalian dusta 2019 tetap jokowi,0
memek bulu mantap jilat,1
indeks harga saham gabung hari tutup 907 25 no asing catat net buy rp148 sembilan puluh tujuh miliar no nilai tukar usd rupiah tutup rp14 409 no indeks indeks harga saham gabung sektoral naik turun no mayoritas indeks asia tutup naik eropa buka naik,0
salah sebut keberserahdirian bapak menteri agama ekspresi tuhan datang layan bukan minta sembah sembah,1
paling suka ngentot mentok begini uniform resource locator,0
ya ya beda cerita konyol asing xf0 x9f x98 x82,0
pandang tidak asing jual,0
jijik mentalitas sunda sip tidak club tidak dukung kunyuk semua xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 uniform resource locator,1
sendiri ibu negara blusuk sumatra utara warta ekonomi,0
awas budek dengar musik pakai headset iya iya,0
tonton dong meski hina intimidasi tetap datang bandung xe2 x80 xa6,0
ab orang tidak sombong murah senyum,0
bubar partai politik,1
santai bro gue blok akun gue blok blok blok mahakam blok east natuna blok east kalimantan blok attaka blok kasur i don t car,0
ahok kafir budak budak anjing anjing nya sampah agama islam sampah masyarakat,1
lanjut juang pak bapak orang baik tempat tempat lebih baik,0
nama babi bro muka asli mirip babi sih,1
cinta buta cinta tak dengar lihat fakta kotor kucing rasa coklat tidak prof,0
komentator dungu kamu bro lebih tinggi dungu nya otak haha,1
ahok nista agama olok olok surat al almaidah 51 cc,1
rasa ikan gurih harga marah di sini lo kunjung pempek palembang jalan wr supratman senggol budaya tohpati,0
kalau nu cabang kristen bagaimana,1
ngentot di atas nurl,0
jokowi pilih cerdas kali bukan anak buat,1
tidak sama lah culun,1
orang edan iya nge i id card barang saut haha,1
logis memang pesan memang ahoker belum maaf on lah memang warga daerah khusus ibukota bego,1
selamat jokowi hasil hutang bayar rakyat good luck,1
semua jujur pahala surga free ahok,0
hoaks identik jokowi esemka ekonomi roket masuk klaim hasil susilo bambang yudhoyono info valid,1
kesal banget wa lihat parnoan bikin video viral nyata duga keliru tipikal sebar h xe2 x80 xa6,0
kang fakta hari partai dukung sih nista agama sangat benci rakyat masuk rakyat jabar,1
haru baca twit carpoolge14 pulang undi jantina bangsa agama selamat malaysia moga jalan pergi selamat god bless,0
lengkap derita tidak pakai kontol pakai tangan pas pakai tangan cewek nya sakit uniform resource locator,0
bagas homo kemarin lihat profil grindr,1
dunia film duka aktor kawak deddy sutomo tinggal dunia warta ekonomi,0
ah xinwen sial lesbi my tipikal of my girl banget,1
rela kalian ribu bahkan juta elf seluruh bahan dunia xe2 x80 x9d cina,0
risau server partai komunis indonesia solid state drive 24 7 heavy around more tahan a solid state drive worn out jangka north sumatera offshore laptop jangkau korang pakai pape tindak bo,0
betul ayo penjara koruptor sumber waras,1
ya nama calon wakil gubernur goblok nge i atur debat lihat bego licik sandiaga uno,1
badan gue bicara xe2 x80 x9choi dengar tulang gue bunyi mata gue lelah lihat layar melulu tangan cape etik melulu he budek xe2 x80 x9d xe2 x80 x9cgue dengar bego maaf gue xe2 x80 x9d xf0 x9f x98 xad xf0 x9f,1
tidak hebat ikut dungu bin idiot uniform resource locator,1
hujan udik di sini mendung anak siapa pakai kerudung mata lirik bacot,0
kelu fact tau jangkit yahudi sejarah nabi amp agama moga hidayah,0
tai xf0 x9f x98 x8,1
minder ketemu teman sekolah dasar sekolah katolik bagus ajar ajar aktivitas sekolah kalah,0
lah giring opini presiden lama menang periode kalau lawan prabowo benar lulus periode jadi hati hati walaupun bukan cebong agen ganda,1
bom ya kayak embel xe2 x80 x9cbom xe2 x80 x9d bikin takut orang orang nya korban,0
lucu hina polisi hina pas polisi polisi di situ mana letak wibawa polisi politic id kepala polisi republik indonesia,1
